ident;type;name;continent;iso_country;iso_region;municipality
ENHF;medium_airport;Hammerfest Airport;EU;NO;NO-20;Hammerfest
ENHK;small_airport;Hasvik Airport;EU;NO;NO-20;Hasvik
ENHN;small_airport;Elverum Starmoen Airport;EU;NO;NO-04;
ENHO;heliport;Hopen Heliport;EU;NO;NO-21;
ENHS;small_airport;Hokksund Airfield;EU;NO;NO-06;
ENHT;small_airport;Hattfjelldal Airport;EU;NO;NO-18;Hattfjelldal
ENHV;medium_airport;Valan Airport;EU;NO;NO-20;Honningsvåg
ENHX;heliport;Haugesund Heliport;EU;NO;NO-11;
ENJA;small_airport;Jan Mayensfield;EU;NO;NO-22;
ENJB;small_airport;Jarlsberg Airfield;EU;NO;NO-07;Tønsberg
ENKA;small_airport;Kautokeino Air Base;EU;NO;NO-20;
ENKB;medium_airport;Kristiansund Airport (Kvernberget);EU;NO;NO-15;Kvernberget
ENKJ;small_airport;Kjeller Airport;EU;NO;NO-02;Kjeller
ENKL;small_airport;Gol Airport;EU;NO;NO-06;Klanten flyplass
ENKR;medium_airport;Kirkenes Airport (Høybuktmoen);EU;NO;NO-20;Kirkenes
ENLA;heliport;Ula Platform;EU;NO;NO-U-A;
ENLH;heliport;Lillehammer Heliport;EU;NO;NO-05;
ENLI;small_airport;Lista Airport;EU;NO;NO-10;Farsund
ENLK;medium_airport;Leknes Airport;EU;NO;NO-18;Leknes
ENLU;small_airport;Lunde Nome Airfield;EU;NO;NO-08;Lunde Nome
ENLX;heliport;Lørenskog Heliport;EU;NO;NO-02;
ENMH;medium_airport;Mehamn Airport;EU;NO;NO-20;Mehamn
ENML;medium_airport;Molde Airport;EU;NO;NO-15;Årø
ENMS;medium_airport;Mosjøen Airport (Kjærstad);EU;NO;NO-18;Mosjøen
ENNA;medium_airport;Banak Airport;EU;NO;NO-20;Lakselv
ENNH;heliport;Namsos Heliport;EU;NO;NO-17;
ENNK;closed;Narvik Framnes Airport;EU;NO;NO-18;Narvik
ENNM;small_airport;Namsos Høknesøra Airport;EU;NO;NO-17;Namsos
ENNO;medium_airport;Notodden Airport;EU;NO;NO-08;Notodden
ENOA;heliport;Oseberg A Platform;EU;NO;NO-U-A;
ENOC;heliport;Oseberg C Platform;EU;NO;NO-U-A;
ENOL;medium_airport;Ørland Airport;EU;NO;NO-16;Ørland
ENOP;small_airport;Fagerhaug Airport;EU;NO;NO-16;
ENOV;medium_airport;Ørsta-Volda Airport;EU;NO;NO-15;
ENPY;heliport;Pyramiden Heliport;EU;NO;NO-21;Pyramiden
ENQA;heliport;Troll A Platform;EU;NO;NO-U-A;
ENQB;heliport;Troll B Platform;EU;NO;NO-U-A;
ENQC;heliport;Troll C Platform;EU;NO;NO-U-A;
ENQD;heliport;Brage A Platform;EU;NO;NO-U-A;
ENQE;heliport;Oseberg South Platform;EU;NO;NO-U-A;
ENQO;heliport;Oseberg East Platform;EU;NO;NO-U-A;
ENQU;heliport;Huldra Platform;EU;NO;NO-U-A;
ENRA;medium_airport;Mo i Rana Airport;EU;NO;NO-18;
ENRG;small_airport;Rognan Airport;EU;NO;NO-18;Saltdal
ENRH;heliport;Oslo Heliport;EU;NO;NO-03;
ENRI;small_airport;Ringebu Airfield Frya;EU;NO;NO-05;Frya
ENRK;small_airport;Rakkestad Astorp Airport;EU;NO;NO-01;Rakkestad
ENRM;medium_airport;Rørvik Airport;EU;NO;NO-17;
ENRO;medium_airport;Røros Airport;EU;NO;NO-16;Røros
ENRS;small_airport;Røst Airport;EU;NO;NO-18;
ENRT;heliport;Trondheim Heliport;EU;NO;NO-16;
ENRV;small_airport;Reinsvoll Airfield;EU;NO;NO-05;Reinsvoll
ENRX;heliport;Hønefoss Heliport;EU;NO;NO-06;
ENRY;medium_airport;Moss Airport;EU;NO;NO-01;
ENSA;small_airport;Svea Airport;EU;NO;NO-21;Svea
ENSB;medium_airport;Svalbard Airport;EU;NO;NO-21;
ENSD;small_airport;Sandane Airport (Anda);EU;NO;NO-14;Sandane
ENSG;small_airport;Sogndal Airport;EU;NO;NO-14;Sogndal
ENSH;medium_airport;Svolvær Helle Airport;EU;NO;NO-18;Svolvær
ENSI;small_airport;Ski Airfield;EU;NO;NO-02;Ski
ENSK;medium_airport;Stokmarknes Skagen Airport;EU;NO;NO-18;Hadsel
ENSL;heliport;Sleipner A Platform;EU;NO;NO-U-A;
ENSN;medium_airport;Skien Airport;EU;NO;NO-08;Geiteryggen
ENSO;medium_airport;Stord Airport;EU;NO;NO-12;Leirvik
ENSR;medium_airport;Sørkjosen Airport;EU;NO;NO-19;Sørkjosen
ENSS;medium_airport;Vardø Airport;EU;NO;NO-20;
ENST;medium_airport;Sandnessjøen Airport (Stokka);EU;NO;NO-18;Alstahaug
ENSU;small_airport;Vinnu Airport;EU;NO;NO-15;Sunndalsøra
ENSX;heliport;Stavanger Heliport;EU;NO;NO-11;
ENTC;large_airport;Tromsø Airport;EU;NO;NO-19;Tromsø
ENTE;heliport;Skien Hospital Heliport;EU;NO;NO-08;Skien
ENTO;medium_airport;Sandefjord Airport;EU;NO;NO-07;
ENTR;heliport;St Olav's Hospital Helipad;EU;NO;NO-16;Trondheim
ENTS;small_airport;Trysil Sæteråsen Airport;EU;NO;NO-04;
ENTY;small_airport;Tynset Airport;EU;NO;NO-04;Tynset
ENUH;heliport;Oslo Heliport;EU;NO;NO-03;
ENUL;small_airport;Os Vaksinen Ulven Airport;EU;NO;NO-12;Ulven
ENVA;large_airport;Trondheim Airport Værnes;EU;NO;NO-17;Trondheim
ENVD;medium_airport;Vadsø Airport;EU;NO;NO-20;Vadsø
ENVE;small_airport;Valle Airfield Åraksøyne;EU;NO;NO-09;
ENVF;heliport;Veslefrikk B Platform;EU;NO;NO-U-A;
ENVH;heliport;Valhall A Platform;EU;NO;NO-U-A;
ENVR;heliport;Værøy Heliport;EU;NO;NO-18;Værøy
ENVY;closed;Værøy STOLport;EU;NO;NO-18;Værøy
ENXA;heliport;Ekofisk A Platform;EU;NO;NO-U-A;
ENXB;heliport;Eldfisk B Platform;EU;NO;NO-U-A;
ENXC;heliport;Cod Platform;EU;NO;NO-U-A;
ENXD;heliport;Ekofisk D Platform;EU;NO;NO-U-A;
ENXE;heliport;Edda Platform;EU;NO;NO-U-A;
ENXF;heliport;Albuskjell F Platform;EU;NO;NO-U-A;
ENXG;heliport;Gyda Platform;EU;NO;NO-U-A;
ENXH;heliport;Hod Platform;EU;NO;NO-U-A;
ENXJ;heliport;Valhall Flank South Platform;EU;NO;NO-U-A;
ENXK;heliport;Ekofisk K Platform;EU;NO;NO-U-A;
ENXL;heliport;Eldfisk A Platform;EU;NO;NO-U-A;
ENXM;heliport;Embla Platform;EU;NO;NO-U-A;
ENXN;heliport;Jotun A Platform;EU;NO;NO-U-A;
ENXO;heliport;Ringhorne Platform;EU;NO;NO-U-A;
ENXP;heliport;Petrojarl Varg Platform;EU;NO;NO-U-A;
ENXQ;closed;Frigg DP2 Platform;EU;NO;NO-U-A;
ENXR;heliport;Tambar Platform;EU;NO;NO-U-A;
ENXS;heliport;Albuskjell A Platform;EU;NO;NO-U-A;
ENXT;heliport;Tor Platform;EU;NO;NO-U-A;
ENXU;heliport;Jotun B Platform;EU;NO;NO-U-A;
ENXV;heliport;Varg Platform;EU;NO;NO-U-A;
ENXX;closed;ENOR FIR;EU;NO;NO-U-A;
ENXZ;heliport;Sleipner B Platform;EU;NO;NO-U-A;
ENY;medium_airport;Yan'an Nanniwan Airport;AS;CN;CN-61;Yan'an
ENZV;large_airport;Stavanger Airport Sola;EU;NO;NO-11;Stavanger
EOD;heliport;Sabre Army (Fort Campbell) Heliport;NA;US;US-TN;Fort Campbell(Clarksville)
EPAR;small_airport;Arłamów Airport;EU;PL;PL-PK;Bircza
EPBA;small_airport;Bielsko Biala Airport;EU;PL;PL-SL;
EPBB;small_airport;Babięta;EU;PL;PL-WN;Babięta
EPBC;small_airport;Babice Airport;EU;PL;PL-MZ;
EPBD;small_airport;Bydgoszcz Aeroklub Airfield;EU;PL;PL-KP;Bydgoszcz
EPBK;small_airport;Białystok-Krywlany Airport;EU;PL;PL-PD;Białystok
EPBP;medium_airport;Biała Podlaska Airfield;EU;PL;PL-LU;Biała Podlaska
EPBS;small_airport;Lotnisko Borne Sulinowo;EU;PL;PL-ZP;Borne Sulinowo
EPBY;large_airport;Bydgoszcz Ignacy Jan Paderewski Airport;EU;PL;PL-KP;Bydgoszcz
EPCD;small_airport;Depułtycze Królewskie Airport;EU;PL;PL-LU;
EPCE;medium_airport;Cewice Air Base;EU;PL;PL-PM;Lębork
EPCH;small_airport;Częstochowa-Rudniki;EU;PL;PL-SL;Częstochowa
EPDA;small_airport;Darłówek Naval Air Base;EU;PL;PL-ZP;Darłowo
EPDE;medium_airport;Deblin Military Air Base;EU;PL;PL-LU;Dęblin
EPDK;small_airport;Debowa Klada Airfield;EU;PL;PL-LU;
EPDR;small_airport;Drawsko Pomorskie Air Base;EU;PL;PL-ZP;Drawsko Pomorskie
EPEL;small_airport;Elblag Airport;EU;PL;PL-WN;
